id,review_count,categories,rating,transactions,latitude,longitude,neighbourhood
FgPvSR_42MtGKy0_n055iw,395,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"['pickup', 'delivery']",40.719584,-73.990486,Noho
VoAuIReq_cPUrFwxbWqG_Q,752,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"['pickup', 'delivery']",40.7801199,-73.98032,Upper West Side
mESab-FqL5QqSVsnX72asQ,2583,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"['pickup', 'delivery']",40.75177475474212,-73.98897630211589,Midtown South
NN3mOWF5e_pnR1ArqM2bHQ,3861,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"['pickup', 'delivery']",40.7606544,-73.991332,Clinton
nI1UYDCYUTt23TpGxqnLKg,4499,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"['pickup', 'delivery']",40.7422762672197,-74.0048000961542,Chelsea
-XYp6w50XbZfS90YddS5ew,972,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery']",40.732259,-73.987363,East Village
jAaVnUKLITkuhzwXIe0vLQ,1384,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,"['pickup', 'delivery']",40.719747,-73.959993,Lower East Side
_0WFGjXuenlBixOlbSlGeQ,528,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,[],40.7063449,-74.0076944,Financial District
XsElXaLxUPKquI78poB8yw,1643,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"['pickup', 'delivery']",40.7870473,-73.9781361,Upper West Side
MmXZLVwWcYugi_TXSHmjeQ,756,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,[],40.75851,-73.98322,Midtown
wx9mXol6jOrUoAK4vaFS9Q,825,"[{'alias': 'peruvian', 'title': 'Peruvian'}]",4.5,"['pickup', 'delivery']",40.7692325,-73.9578759,Lenox Hill
xZ96vaoL-cQjfotmUKtjJQ,2348,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.0,"['pickup', 'delivery']",40.74964,-73.98582,Midtown South
l_RAv09V67j-Hm9dyZxWhw,718,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]",4.5,"['pickup', 'delivery']",40.75725,-73.96774,Turtle Bay
EKkHfSYTm266-ZBve3SdgA,695,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,"['pickup', 'delivery']",40.74996750318778,-73.98443095513923,Midtown South
x0k5kFArHLijdY8-NEQ7Xg,2281,"[{'alias': 'indpak', 'title': 'Indian'}]",4.5,"['pickup', 'delivery']",40.763167,-73.977131,Midtown
oTL_nPII6x0HfPVpEQklUg,580,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"['pickup', 'delivery']",40.744435,-73.98832,Midtown South
h0pRCiJDrCN7tm3VX5tILQ,606,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"['pickup', 'delivery']",40.75002,-73.98215,Midtown
