,id,review_count,categories,rating,neighbourhood,count_of_businesses,scores
29,l_RAv09V67j-Hm9dyZxWhw,720,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'jazzandblues', 'title': 'Jazz & Blues'}]",4.5,Turtle Bay,18,8.762886597938143
30,Rc1lxc5lSKJYd162JHNMfQ,2849,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,Clinton,38,19.072164948453608
31,nI1UYDCYUTt23TpGxqnLKg,4509,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,Chelsea,27,13.402061855670103
32,qEe7nIhPfEL6L0-VYhWRrA,845,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,Greenwich Village,70,35.56701030927835
33,wohLfhl0OqvDzIX50r63aw,418,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,Lincoln Square,28,13.917525773195877
34,wcwftlB-61XG4ymGTR61aw,783,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,Noho,90,45.876288659793815
35,zwOAiVT4pAmpNGXzj-t5MA,1148,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,Lower East Side,195,100.0
36,_0WFGjXuenlBixOlbSlGeQ,532,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,Financial District,44,22.164948453608247
37,hdiuRS9sVZSMReZm4oV5SA,1899,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,Flatiron,39,19.587628865979383
38,EKkHfSYTm266-ZBve3SdgA,698,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.5,Midtown South,47,23.711340206185564
39,VuR3lhMA80aH42jrBM_C8A,574,"[{'alias': 'supperclubs', 'title': 'Supper Clubs'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Noho,90,45.876288659793815
40,U5hCNNyJmb7f3dmC1HTzSQ,5661,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,Midtown,59,29.896907216494846
41,9AXTJkwXdWaJaQkCjpj6mA,1234,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,Lower East Side,195,100.0
42,a0IET3_yCFcO36OqGSsisg,6057,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'grocery', 'title': 'Grocery'}]",4.0,Flatiron,39,19.587628865979383
43,jnEv25Y2DosTq2sNnvmC9g,3769,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,Chelsea,27,13.402061855670103
44,m1cJLpDN4B-_0hGgPfe5OA,712,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,Lower East Side,195,100.0
